Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
PZZA,Papa John's Intl,2507645000,65.98,1.21,4870000,1.04,0.9,1.18%
QDEL,Quidel Cp,11275321000,58.62,4.5,72920000,0.84,0,0.00%
QLYS,Qualys Inc,3575795000,46.54,1.97,69340000,0.85,0,0.00%
R,Ryder System,2743155000,0,0.13,-24410000,1.96,2.24,4.39%
RAMP,Liveramp Holdings Inc,4430295000,0,-1.46,-124510000,1.6,0,0.00%
RBC,Regal-Beloit Corp,3998248000,17.96,4.86,238900000,1.39,1.2,1.22%
REXR,Rexford Industrial Realty Inc,5861456000,36.22,0.58,61980000,0.66,0.86,1.82%
RGA,Reinsurance Group of America Inc,6786126000,9.34,10.22,870000000,1.12,2.8,2.80%
RGEN,Repligen Cp,9042065000,142.67,1.2,21410000,1.07,0,0.00%
RGLD,Royal Gold Inc,7765008000,47.8,2.44,199340000,0.83,1.12,0.95%
RH,Restoration Hardware Holdings,6868340000,27.89,12.68,220380000,2.48,0,0.00%
RLI,Rli Corp,3984665000,35.22,2.48,191640000,0.37,0.96,1.09%
RNR,Renaissancere Holdings Ltd,8530702000,60.76,5.63,748800000,0.46,1.4,0.84%
RPM,RPM International Inc,11069332000,23.47,3.56,304390000,1.12,1.52,1.78%
RS,Reliance Steel & Aluminum Company,6931131000,13.1,8.12,701500000,1.1,2.5,2.30%
RUN,Sunrun Inc,6683476000,0,-0.01,26330000,1.75,0,0.00%
RYN,Rayonier Inc REIT,3543851000,88.97,0.23,59110000,0.94,1.08,4.16%
SABR,Sabre Corp,1804340000,0,-1.35,158590000,1.68,0,0.00%
SAFM,Sanderson Farms IN,2822477000,0,-2.66,53290000,0.57,1.76,1.39%
SAIC,Science Applications International,4348341000,12.26,5.98,226000000,0.98,1.48,1.98%
SAM,Boston Beer Company,12907801000,79.43,13.35,110040000,1,0,0.00%
SBH,Sally Beauty Holdings,986326000,7.22,1.17,271620000,1.2,0,0.00%
SBNY,Signature Bank,4198125000,8.18,9.49,588930000,1.74,2.24,2.86%
SBRA,Sabra REIT,2756573000,7.19,0.63,69000000,1.29,1.2,8.95%
SCI,Service Corp International,8144842000,18.15,1.98,369600000,0.76,0.76,1.64%
SEDG,Solaredge Tech,13536639000,76.47,3.45,146550000,0.73,0,0.00%
SEIC,Sei Investments Company,7195250000,16.68,2.99,501430000,1.22,0.7,1.41%
SF,Stifel Financial Corp,3992132000,9.48,6.13,448400000,1.59,0.68,1.17%
SFM,Sprouts Farmers Mark,2297549000,9.37,1.87,149630000,0.12,0,0.00%
SGMS,Scientific Games,2984155000,0,-2.11,-130000000,2.09,0,0.00%
SIGI,Selective Ins Group,3225063000,14.4,3.58,271620000,0.83,0.92,1.71%
SIX,Six Flags Entertainment Corp,1772374000,0,-0.51,179070000,2.27,0,0.00%
SKX,Skechers U.S.A.,5511346000,33.1,1.01,346560000,1.08,0,0.00%
SLAB,Silicon Labs Inc,4577996000,51.81,2.14,19270000,1.14,0,0.00%
SLGN,Silgan Holdings,3875466000,12.24,2.84,193810000,0.72,0.48,1.37%
SLM,SLM Corp,3504723000,6.77,1.37,578280000,1.33,0.12,1.28%
SMG,Scotts Miracle-Gro Company,8715022000,24.79,6.27,460700000,1.08,2.48,1.59%
